Playlist Name,Song,Artist,Full Artist,Album
Story,Bandook Meri Laila,Ash King,"Ash King, Jigar Saraiya, Sachin-Jigar, Raftaar, Sidharth Malhotra","Bandook Meri Laila (From ""A Gentleman"")"
Story,Soni Soni,Darshan Raval,"Darshan Raval, Jonita Gandhi, Rochak Kohli, Gurpreet Saini","Soni Soni (From ""Ishq Vishk Rebound"")"
Story,Mere Rang Mein Rangne Wali,Sachin Gupta,"Sachin Gupta, S. P. Balasubrahmanyam",Study Lofi - Bollywood Beatz
Story,Tera Ishq,Monu Serials Music,Monu Serials Music,Tera Ishq
Story,Na Ja,Pav Dharia,Pav Dharia,Na Ja
Story,Dil Dooba,Sonu Nigam,"Sonu Nigam, Shreya Ghoshal",Love Anthems - Sonu Nigam
Story,Hum Toh Deewane,Rajat Nagpal,"Rajat Nagpal, Yasser Desai, Rana Sotal",Hum Toh Deewane
Story,Mera Naam Mary,Ajay-Atul,"Ajay-Atul, Chinmayi","Mera Naam Mary (From ""Brothers"")"
Story,Nazar Na Lag Jaaye,Ash King,"Ash King, Sachin-Jigar","Nazar Na Lag Jaaye (From ""Stree"")"
Story,Meri Banogi Kya,Rito Riba,"Rito Riba, Rajat Nagpal",Meri Banogi Kya
Story,Shape of You,Ed Sheeran,Ed Sheeran,÷ (Deluxe)
Story,Naina,Diljit Dosanjh,"Diljit Dosanjh, Badshah, Raj Ranjodh","Naina (From ""Crew"")"
Story,Ranjheya Ve,Zain Zohaib,Zain Zohaib,Ranjheya Ve
Story,Jhuki Teri Palkon Mein,Debashiz,Debashiz,Jhuki Teri Palkon Mein (Mere Nishaan)
Story,Ishq Bulaava,Vishal-Shekhar,"Vishal-Shekhar, Sanam Puri, Shipra Goyal",Hasee Toh Phasee (Original Motion Picture Soundtrack)
Story,Jab Tak,Armaan Malik,"Armaan Malik, Amaal Mallik, Manoj Muntashir",M.S.Dhoni - The Untold Story
Story,Gehra Hua,Shashwat Sachdev,"Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",Dhurandhar
Story,Zaalima,Arijit Singh,"Arijit Singh, Harshdeep Kaur",The Arijit Singh Collection
Story,Maharani,Karun,"Karun, Lambo Drive, Arpit Bala, GHILDIYAL",Maharani
Story,Naal Nachna,Shashwat Sachdev,"Shashwat Sachdev, Afsana Khan, Irshad Kamil, Reble",Dhurandhar
Story,Billo Rani,Pritam,"Pritam, Anand Raj Anand, Richa Sharma",Dhan Dhana Dhan Goal
Story,Baby Doll,Meet Bros Anjjan,"Meet Bros Anjjan, Kanika Kapoor",Ragini Mms 2
Story,Buzz,Aastha Gill,"Aastha Gill, Badshah",Buzz (feat. Badshah)
Story,Diet Pepsi,Addison Rae,Addison Rae,Addison
Story,Jag Ghoomeya,Vishal-Shekhar,"Vishal-Shekhar, Rahat Fateh Ali Khan, Irshad Kamil",Sultan
Story,Hale Dil,Harshit Saxena,"Harshit Saxena, Sayeed Quadri",Murder 2
Story,Heer Ranjha,Rito Riba,"Rito Riba, Rajat Nagpal, Rana Sotal",Heer Ranjha
Story,Channa Ve,Mansheel Gujral,"Mansheel Gujral, Akhil Sachdeva","Channa Ve (From ""Bhoot - Part One: The Haunted Ship"" / Original Motion Picture Soundtrack)"
Story,Bebot,Black Eyed Peas,Black Eyed Peas,Monkey Business
Story,Caller Tune,Neeraj Shridhar,"Neeraj Shridhar, Neeti Mohan",Long Drive With Himesh Reshammiya
Story,Mad at Disney,salem ilese,salem ilese,Mad at Disney
Story,Style,Taylor Swift,Taylor Swift,1989 (Deluxe)
Story,Dil Jhoom,Mithoon,"Mithoon, Arijit Singh, Sayeed Quadri",Gadar 2 (Original Motion Picture Soundtrack)
Story,Mann Mera,Gajendra Verma,Gajendra Verma,Mann Mera (Original Version)
Story,Nashe Si Chadh Gayi,Vishal-Shekhar,"Vishal-Shekhar, Arijit Singh, Caralisa Monteiro, Jaideep Sahni",Befikre
Story,Falak Tak,Vishal-Shekhar,"Vishal-Shekhar, Udit Narayan, Mahalakshmi Iyer, Kausar Munir",Tashan
Story,Preet Re,Darshan Raval,"Darshan Raval, Rochak Kohli, Jonita Gandhi, Gurpreet Saini","Preet Re (From ""Dhadak 2"")"
